"Value Research Online"
"Date: 27-Dec-2015 16:22"
"Company","Sector","Industry","ROE (%)","Operating Margin (%)","Free Cash Flow (Cr)","Debt Equity Ratio","Long-term Debt (Cr)","Networth (Cr)"
"Mindteck (India) Ltd.","Technology","Computer Software","12.42","9.42","19.43","0","0","163.53"
"MindTree Ltd.","Technology","Computer Software","29.48","22.25","441.57","0","2.8","2012.8"
"Moschip Semiconductor Technology Ltd.","Technology","Computer Software","0","-30.88","0.1","-1.34","16.48","-12.32"
"Moser Baer India Ltd.","Technology","Computer Hardware","0","-12.46","-389.59","-1.73","4597.33","-2661.23"
"Mphasis Ltd.","Technology","Computer Software","12.76","18.41","680.39","0.11","575.27","5479.77"
"Mro-Tek Ltd.","Technology","Computer Software","-34.68","-12.31","-6.99","0.87","23.1","26.57"
"MYM Technologies Ltd.","Technology","Computer Software","7.05","6.65","0","0.27","2.07","7.58"
"Net 4 India Ltd.","Technology","Computer Software","0","-94.04","-28.11","-1.56","244.83","-156.52"
"Netlink Solutions (India) Ltd.","Technology","Computer Software","16.45","386.61","1.53","0","0","9"
"Nettlinx Ltd.","Technology","Computer Software","-0.9","7.95","-3.18","0.2","3.52","17.22"
"Nexus Commodities And Technologies Ltd.","Technology","Computer Software","2.64","50","-0.01","0","0","5.59"
"NHC Foods Ltd.","Technology","Computer Software","7.33","3.11","-0.1","0.91","16.81","18.44"
"NIIT Ltd.","Technology","Computer Software","-23.81","4.03","-92.93","0.21","154.62","729.72"
"NIIT Technologies Ltd.","Technology","Computer Software","9.11","14.89","40.1","0.01","8.61","1357.35"
"Northgate Com Tech Ltd.","Technology","Computer Software","0","-7.84","-2.91","-2.19","11.28","-5.16"
"Nucleus Software Exports Ltd.","Technology","Computer Software","15.49","28.08","52.15","0","0","438.37"
"Odyssey Technologies Ltd.","Technology","Computer Software","37.53","39.86","0.93","0.04","0.36","9.2"
"Omega Interactive Technologies Ltd.","Technology","Computer Software","2.54","-","0.02","0","0","0.75"
"Omni AXs Software Ltd.","Technology","Computer Software","-0.46","-12.32","-0.12","0.02","0.3","12.72"
"Omnitech Infosolutions Ltd.","Technology","Computer Software","-78.37","-6.8","-88.8","1.91","249.42","130.34"
"OnMobile Global Ltd.","Technology","Computer Software","-4.54","17.13","116.58","0.07","46.16","656.88"
"Ontrack Systems Ltd.","Technology","Computer Software","3.93","3.99","-6.12","1.52","43.16","28.94"
"Oracle Financial Services Software Ltd.","Technology","Computer Software","19.51","48.63","1455.3","0","0","3444.13"
"Ortel Communications Ltd.","Technology","Computer Software","8.44","31.34","-13.39","1.14","144.76","127.09"
"Palred Technologies Ltd.","Technology","Computer Software","0.8","19.21","-2.24","0","0","89.66"
"Pan India Corporation Ltd","Technology","Computer Software","-1.48","-67.28","2.56","0","0","32.58"
"Panoramic Universal Ltd.","Technology","Computer Software","-","24.5","-","-","146.01","255.43"
"Parle Software Ltd.","Technology","Computer Software","0.29","36.13","0.01","0","0","19.7"
"PCS Technology Ltd.","Technology","Computer Hardware","2.99","7.87","11.59","0.14","11.76","95.05"
