"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","Price","PriceDate","52-Week High","52-Week Low","P/E","P/B","Dividend Yield (%)","Enterprise Value / Ebidta","Price / Sales","Price / Cash Flow"
"Datasoft Application Software (India) Ltd.","Technology","Computer Software","1.48","Dec 09, 2015","1.63","1.43","25.85","-2.92","0","46.85","-","-"
"Dynacons Systems & Solutions Ltd.","Technology","Computer Hardware","14.5","Dec 24, 2015","14.9","6.55","10.13","0.5","0","3.25","0.07","2.64"
"Edserv Softsystems Ltd.","Technology","Computer Software","2.07","Mar 07, 2014","-","-","0","0.02","0","-17.33","0.27","0.18"
"Encore Software Ltd.","Technology","Computer Software","7.1","Aug 11, 2015","7.99","3.7","0","-0.18","0","8.47","0.8","2.29"
"FCS Software Solutions Ltd.","Technology","Computer Software","0.45","Dec 24, 2015","0.6","0.2","0","0.19","0","-105.41","1.17","16.02"
"Financial Technologies (India) Ltd.","Technology","Computer Software","117.4","Dec 24, 2015","221.8","95.6","0","0.2","14.52","-7.48","3.56","-6.69"
"Fintech Communication Ltd.","Technology","Computer Software","1.96","Dec 04, 2015","3.05","1.96","0","-6.1","0","-17.43","-","-"
"Firstobject Technologies Ltd","Technology","Computer Software","9.12","Dec 24, 2015","10.69","4.9","0","0.28","0","47.94","0.58","-28.11"
"Fourth Generation Information Systems Ltd.","Technology","Computer Software","5.51","Dec 24, 2015","7.59","2.09","0","7.97","0","-1.66","20.59","-23.4"
"Frontier Informatics Ltd.","Technology","Computer Software","0.4","Dec 24, 2015","0.57","0.34","0","-0.35","0","-14.9","10.05","-6.79"
"Funny Software Ltd.","Technology","Computer Software","9.95","Jul 01, 2015","13.5","9.95","252.64","0.9","0","-","-","-"
"Futuristic Solutions Ltd.","Technology","Computer Software","44.75","Nov 24, 2015","70.4","39.4","24.33","3.15","1.12","17.31","7.6","29.01"
"Gamma Infoway Exalt Ltd.","Technology","Computer Hardware","0.65","Feb 28, 2015","0.72","0.61","0","0.12","0","-11.87","-","-"
"Gemini Communication Ltd.","Technology","Computer Hardware","3.2","Dec 24, 2015","3.45","0.6","0","-0.11","0","-4.63","0.84","0.27"
"Genesys International Corpn. Ltd.","Technology","Computer Software","92","Dec 24, 2015","98.7","43","46.31","1.31","0.14","18","5.37","244.73"
"Geodesic Ltd.","Technology","Computer Software","1.49","Aug 19, 2014","-","-","0","0.02","0","22.1","-0.59","-0.13"
"Geometric Ltd.","Technology","Computer Software","188.35","Dec 24, 2015","206.7","101.55","19.75","2.81","1.33","7.12","1.05","22.42"
