"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","1-Year Revenue Growth","1-Year EPS Growth","1-Year Book Value Growth","3-Year Revenue Griowth","3-Year EPS Growth","3 Year Book Value Growth","5 Year Revenue Growth","5-Year EPS Growth","5 Year Book Value Growth"
"Encore Software Ltd.","Technology","Computer Software","-0.05","-10.08","-6.68","-","-","-","-12.99","-224.8","-16.08"
"FCS Software Solutions Ltd.","Technology","Computer Software","-40.86","22.07","-7.07","-28.06","-360.64","-16.11","-21.77","-185.63","-13.97"
"Financial Technologies (India) Ltd.","Technology","Computer Software","-63.11","-50.92","14.12","-25.23","17.35","20.13","-7.54","24.95","10.78"
"Fintech Communication Ltd.","Technology","Computer Software","-12.06","53335.35","-87.81","-","-","-","32.37","18.52","-38.53"
"Firstobject Technologies Ltd","Technology","Computer Software","-38.61","66","-4.99","-24.19","-286.67","-5.94","2.65","-207.56","27.48"
"Fourth Generation Information Systems Ltd.","Technology","Computer Software","-78.11","-445.49","-77.08","-50.11","-454.89","152.82","-","-412.93","-10.04"
"Frontier Informatics Ltd.","Technology","Computer Software","13.69","-2.65","-22.97","-28.95","22.66","-35.04","-49.84","13.97","-182.87"
"Funny Software Ltd.","Technology","Computer Software","9.95","-30.85","-1.17","-","-","-0.06","-","-","-"
"Futuristic Solutions Ltd.","Technology","Computer Software","725.95","333.97","3.99","3.1","0.55","-0.42","-11.8","39.77","0.29"
"Gamma Infoway Exalt Ltd.","Technology","Computer Hardware","-67.29","48.92","-0.69","-89.38","-210.44","1.69","-","12.59","-0.34"
"Gemini Communication Ltd.","Technology","Computer Hardware","-29.38","65.64","-100.06","-54.77","-264.46","-209.55","-32.2","-236.23","-217.42"
"Genesys International Corpn. Ltd.","Technology","Computer Software","-19.77","-34.38","3.25","-14.37","-35.15","6.45","-0.58","-31.03","14.4"
"Geodesic Ltd.","Technology","Computer Software","-52.49","-890.25","-65.38","-","-","-","-","-","-"
"Geometric Ltd.","Technology","Computer Software","0.9","17.53","19.85","11.01","3.23","28.59","16.66","2.55","17.18"
"Glodyne Technoserve Ltd","Technology","Computer Software","-21.19","-147.64","-34.97","40.78","-194.96","13.54","46.68","-213.38","36.75"
"Goldstone Technologies Ltd.","Technology","Computer Software","-5.34","-238.91","-6.85","0.96","-199.46","0.77","4.16","-211.18","-1.72"
"Green Field Agri Ventures Ltd.","Technology","Computer Software","7.33","75.73","13.09","3.02","140.59","10.11","2.66","74.72","10.64"
"GSS Infotech Ltd.","Technology","Computer Software","-9.9","-2659.94","-58.59","-5.9","-205.41","-22.27","-","-","-"
"HCL Infosystems Ltd.","Technology","Computer Hardware","-20.75","13.9","-12.86","-16.72","-236.85","-13.02","-12.39","-194.31","-8.07"
"HCL Technologies Ltd.","Technology","Computer Software","14.18","11.93","22.6","20.78","43.88","35.34","24.77","41.19","29.93"
"Helios & Matheson Information Technology Ltd.","Technology","Computer Software","45.15","56","4.85","22.32","28.62","3.7","-","-","-"
"Hexaware Technologies Ltd.","Technology","Computer Software","12.97","-15.85","7.25","21.19","5.34","7.4","19.98","17.9","7.78"
"Hindustan Bio Sciences Ltd.","Technology","Computer Software","-66.39","-46.65","-16.2","-34.58","-345.59","-10.25","-27.95","-238.66","-5.54"
