"Value Research Online"
"Date: 27-Dec-2015 16:21"
"Company","Sector","Industry","Price","PriceDate","1-Day Chg. (%)","52-Week High","52-Week Low","P/E","P/B","Enterprise Value (Cr)","Market Cap (Cr)"
"OnMobile Global Ltd.","Technology","Computer Software","130.75","Dec 24, 2015","1.04","140.8","61.85","0","2.19","1206.48","1431.66"
"Ontrack Systems Ltd.","Technology","Computer Software","1.47","Jun 15, 2015","-4.55","3.5","1.47","0","0.11","24.49","2.84"
"Oracle Financial Services Software Ltd.","Technology","Computer Software","3782.15","Dec 24, 2015","-0.59","4444","3136.1","28.33","7.75","28510.37","32074.2"
"Ortel Communications Ltd.","Technology","Computer Software","178.5","Dec 24, 2015","0.22","226","135.65","49.85","4.21","584.45","558.12"
"Palred Technologies Ltd.","Technology","Computer Software","125.1","Dec 24, 2015","5.44","143","14.8","129.85","3.46","124.02","205.82"
"Pan India Corporation Ltd","Technology","Computer Software","0.25","Dec 24, 2015","0","0.4","0.15","0","0.16","4.9","5.14"
"Panoramic Universal Ltd.","Technology","Computer Software","15.65","Dec 24, 2015","1.95","18.1","7.35","0","0.6","254.52","121.67"
"Parle Software Ltd.","Technology","Computer Software","13.76","Dec 16, 2015","4.96","23.3","10.64","875.64","0.98","19.09","19.26"
"PCS Technology Ltd.","Technology","Computer Hardware","37.6","Dec 24, 2015","16.77","38.55","19","14.53","2.1","79.84","78.77"
"Pentamedia Graphics Ltd.","Technology","Computer Software","0.73","Dec 24, 2015","-1.35","1.32","0.59","0","0.19","30.45","30.3"
"Persistent Systems Ltd.","Technology","Computer Software","650.45","Dec 24, 2015","-0.9","960.15","574.9","17.94","3.37","4592.87","5194"
"PFL Infotech Ltd.","Technology","Computer Software","30.55","Aug 20, 2015","-1.93","733","30.55","94.01","2.87","23.09","22.85"
"Polaris Consulting & Services Ltd.","Technology","Computer Software","210.45","Dec 24, 2015","0.38","224.45","132.9","13.05","2.32","1908.88","2110.99"
"Powersoft Global Solutions Ltd.","Technology","Computer Software","1.24","Jan 15, 2013","0","-","-","1.78","0.07","2.49","5.6"
"Prabhav Industries Ltd.","Technology","Computer Software","1.51","Dec 24, 2015","0.67","2.34","0.81","154.66","0.05","23.03","6.96"
"Prithvi Information Solutions Ltd.","Technology","Computer Software","1.28","Sep 14, 2015","-4.48","3.27","0.8","0","0.01","530.57","4.43"
"Prithvi Softech Ltd.","Technology","Computer Software","26.05","Dec 24, 2015","-4.93","31.05","20.7","7.1","0.72","4","14.3"
"Priya Ltd.","Technology","Computer Hardware","40.1","Dec 24, 2015","-2.55","48","26.55","6.24","0.36","29.43","12.04"
"PVP Ventures Ltd.","Technology","Computer Software","6.3","Dec 24, 2015","-0.79","8.9","4.25","323.84","0.24","296.91","155.12"
"Quest Softech (India) Ltd.","Technology","Computer Software","4.2","Dec 24, 2015","3.19","8.88","3.25","60","0.9","4.51","4.2"
"Quintegra Solutions Ltd.","Technology","Computer Software","0.65","Dec 24, 2015","8.33","1.5","0.55","0.29","-0.09","24.33","1.88"
"R Systems International Ltd","Technology","Computer Software","77.95","Dec 24, 2015","-2.56","100","58.8","9.3","4.48","849.8","987.05"
"Ramco Systems Ltd.","Technology","Computer Software","782.2","Dec 24, 2015","2.32","1110.45","417","78.93","3.93","2609.56","2323.5"
"RAMINFO LTD.","Technology","Computer Software","27.3","Dec 24, 2015","5","43.9","23.25","17.01","2.19","16.64","17.15"
"Ranklin Solutions Ltd","Technology","Computer Software","1.63","May 21, 2015","-4.68","2.37","1.58","0","0.06","11.02","1.96"
"Redington India Ltd.","Technology","Computer Hardware","120","Dec 24, 2015","0","142.8","90.25","11.93","1.82","6124.82","4789.58"
"Religare Technologies Ltd.","Technology","Computer Software","38.5","Dec 24, 2015","0.65","64","23.75","0","-0.07","533.08","31.3"
"Response Informatics Ltd.","Technology","Computer Software","4.07","Nov 23, 2015","-4.91","9.8","4.07","0","0.39","2.68","2.43"
"Rolta India Ltd.","Technology","Computer Hardware","103.05","Dec 24, 2015","5.69","196.8","84.2","8.5","1.49","6213.45","1663.3"
"RS Software (India) Ltd.","Technology","Computer Software","132.25","Dec 24, 2015","-0.26","323.7","117","6.61","1.38","216.64","338.64"
"Saksoft Limited","Technology","Computer Software","297.45","Dec 24, 2015","4.99","297.45","110.5","17.18","2.44","338.67","310.59"
"Sankhya Infotech Ltd.","Technology","Computer Software","37.5","Dec 24, 2015","0","37.5","10.31","19.41","0.57","75.44","42.17"
"Sanmit Infra Ltd.","Technology","Computer Software","7.25","Dec 23, 2015","-1.23","11.35","3.31","0","5.54","7.28","7.18"
"Sapan Chemicals Ltd.","Technology","Computer Software","3.84","Dec 24, 2015","4.92","4.66","0.58","0","1.05","2.66","3.07"
"Saven Technologies Ltd.","Technology","Computer Software","27.55","Dec 24, 2015","1.29","34.55","12.1","17.04","1.4","12.12","29.97"
